,open,high,low,last,close,volume,date,symbol,exchange
0,752.92,752.92,752.92,,,,2021-09-08T00:00:00+0000,TSLA,IEXG
1,753.065,753.495,752.95,,,,2021-09-07T23:30:00+0000,TSLA,IEXG
2,754.85,755.17,754.61,,,,2021-09-07T23:00:00+0000,TSLA,IEXG
3,752.89,753.03,752.47,,,,2021-09-07T22:30:00+0000,TSLA,IEXG
4,754.445,754.78,754.445,,,,2021-09-07T22:00:00+0000,TSLA,IEXG
5,752.25,752.545,752.11,,,,2021-09-07T21:30:00+0000,TSLA,IEXG
6,750.81,750.83,750.375,,,,2021-09-07T21:00:00+0000,TSLA,IEXG
7,752.33,752.33,751.99,,,,2021-09-07T20:30:00+0000,TSLA,IEXG
8,750.65,751.295,750.58,,,,2021-09-07T20:00:00+0000,TSLA,IEXG
9,738.53,760.16,738.14,753.05,733.57,308570.0,2021-09-07T19:30:00+0000,TSLA,IEXG
10,738.53,760.16,738.14,754.94,733.57,291181.0,2021-09-07T19:00:00+0000,TSLA,IEXG
11,738.53,760.16,738.14,752.89,733.57,274920.0,2021-09-07T18:30:00+0000,TSLA,IEXG
12,738.53,760.16,738.14,754.47,733.57,259757.0,2021-09-07T18:00:00+0000,TSLA,IEXG
13,738.53,760.16,738.14,752.29,733.57,242599.0,2021-09-07T17:30:00+0000,TSLA,IEXG
14,738.53,760.16,738.14,750.5,733.57,235916.0,2021-09-07T17:00:00+0000,TSLA,IEXG
15,738.53,760.16,738.14,752.33,733.57,224941.0,2021-09-07T16:30:00+0000,TSLA,IEXG
16,738.53,760.16,738.14,751.295,733.57,212879.0,2021-09-07T16:00:00+0000,TSLA,IEXG
17,738.53,760.16,738.14,754.8,733.57,165305.0,2021-09-07T15:00:00+0000,TSLA,IEXG
18,738.53,760.16,738.14,757.52,733.57,137699.0,2021-09-07T14:30:00+0000,TSLA,IEXG
19,738.53,756.38,738.14,754.34,733.57,95092.0,2021-09-07T14:00:00+0000,TSLA,IEXG
20,738.53,742.31,738.14,740.81,733.57,2105.0,2021-09-07T13:30:00+0000,TSLA,IEXG
21,738.53,742.31,738.14,741.41,733.57,986.0,2021-09-07T13:00:00+0000,TSLA,IEXG
22,733.84,733.84,733.84,,,,2021-09-04T00:00:00+0000,TSLA,IEXG
23,728.99,729.1,728.87,,,,2021-09-03T23:30:00+0000,TSLA,IEXG
24,726.84,727.14,726.795,,,,2021-09-03T23:00:00+0000,TSLA,IEXG
25,727.05,727.05,726.835,,,,2021-09-03T22:30:00+0000,TSLA,IEXG
26,726.39,726.8,726.39,,,,2021-09-03T22:00:00+0000,TSLA,IEXG
27,728.91,728.92,728.64,,,,2021-09-03T21:30:00+0000,TSLA,IEXG
28,730.12,730.89,730.09,,,,2021-09-03T21:00:00+0000,TSLA,IEXG
29,734.39,736.64,724.25,733.24,732.39,342264.0,2021-09-03T20:30:00+0000,TSLA,IEXG
30,726.11,726.34,725.91,,,,2021-09-03T20:00:00+0000,TSLA,IEXG
31,734.39,736.64,724.25,729.01,732.39,287481.0,2021-09-03T19:30:00+0000,TSLA,IEXG
32,734.39,736.64,724.25,727.05,732.39,264126.0,2021-09-03T19:00:00+0000,TSLA,IEXG
33,730.0,730.025,729.73,,,,2021-09-03T18:30:00+0000,TSLA,IEXG
34,734.39,736.64,724.25,726.44,732.39,235068.0,2021-09-03T18:00:00+0000,TSLA,IEXG
35,734.39,736.64,724.25,728.64,732.39,215872.0,2021-09-03T17:30:00+0000,TSLA,IEXG
36,734.39,736.64,724.25,730.09,732.39,192403.0,2021-09-03T17:00:00+0000,TSLA,IEXG
37,734.39,736.64,724.25,728.11,732.39,172238.0,2021-09-03T16:30:00+0000,TSLA,IEXG
38,734.39,736.64,726.61,727.65,732.39,128870.0,2021-09-03T15:30:00+0000,TSLA,IEXG
39,734.39,736.64,727.63,730.18,732.39,100475.0,2021-09-03T15:00:00+0000,TSLA,IEXG
40,734.39,736.64,727.63,730.0,732.39,78779.0,2021-09-03T14:30:00+0000,TSLA,IEXG
41,734.39,736.64,727.63,731.93,732.39,50397.0,2021-09-03T14:00:00+0000,TSLA,IEXG
42,734.39,736.64,731.59,731.61,732.39,1225.0,2021-09-03T13:30:00+0000,TSLA,IEXG
43,734.39,736.64,732.44,734.78,732.39,881.0,2021-09-03T13:00:00+0000,TSLA,IEXG
44,732.24,732.24,732.24,,,,2021-09-03T00:00:00+0000,TSLA,IEXG
45,733.37,733.655,733.225,,,,2021-09-02T23:30:00+0000,TSLA,IEXG
46,732.48,732.97,732.48,,,,2021-09-02T23:00:00+0000,TSLA,IEXG
47,733.0,733.28,733.0,,,,2021-09-02T22:30:00+0000,TSLA,IEXG
48,734.5,734.6,734.38,,,,2021-09-02T22:00:00+0000,TSLA,IEXG
49,735.33,736.14,735.3,,,,2021-09-02T21:30:00+0000,TSLA,IEXG
50,737.93,738.02,737.69,,,,2021-09-02T21:00:00+0000,TSLA,IEXG
51,738.31,738.785,738.31,,,,2021-09-02T20:30:00+0000,TSLA,IEXG
52,739.105,739.32,739.07,,,,2021-09-02T20:00:00+0000,TSLA,IEXG
53,739.19,739.68,739.19,,,,2021-09-02T19:30:00+0000,TSLA,IEXG
54,732.38,740.83,731.1,732.64,734.09,183844.0,2021-09-02T19:00:00+0000,TSLA,IEXG
55,732.38,740.83,731.1,733.12,734.09,169081.0,2021-09-02T18:30:00+0000,TSLA,IEXG
56,732.38,740.83,732.13,734.38,734.09,144431.0,2021-09-02T18:00:00+0000,TSLA,IEXG
57,732.38,740.83,732.13,735.75,734.09,134654.0,2021-09-02T17:30:00+0000,TSLA,IEXG
58,732.38,740.83,732.13,737.74,734.09,123755.0,2021-09-02T17:00:00+0000,TSLA,IEXG
59,732.38,740.83,732.13,738.59,734.09,113122.0,2021-09-02T16:30:00+0000,TSLA,IEXG
60,732.38,740.83,732.13,739.15,734.09,102278.0,2021-09-02T16:00:00+0000,TSLA,IEXG
61,732.38,739.905,732.13,739.85,734.09,67846.0,2021-09-02T15:00:00+0000,TSLA,IEXG
62,732.38,738.49,732.13,737.29,734.09,51829.0,2021-09-02T14:30:00+0000,TSLA,IEXG
63,732.38,738.49,732.13,736.28,734.09,32649.0,2021-09-02T14:00:00+0000,TSLA,IEXG
64,732.38,735.54,732.13,734.34,734.09,1764.0,2021-09-02T13:30:00+0000,TSLA,IEXG
65,734.09,734.09,734.09,,,,2021-09-02T00:00:00+0000,TSLA,IEXG
66,734.4,734.67,734.325,,,,2021-09-01T23:30:00+0000,TSLA,IEXG
67,733.56,733.56,733.16,,,,2021-09-01T23:00:00+0000,TSLA,IEXG
68,734.63,734.805,734.46,,,,2021-09-01T22:30:00+0000,TSLA,IEXG
69,737.15,737.15,736.91,,,,2021-09-01T22:00:00+0000,TSLA,IEXG
70,735.77,735.94,735.77,,,,2021-09-01T21:30:00+0000,TSLA,IEXG
71,735.6,736.59,735.6,,,,2021-09-01T21:00:00+0000,TSLA,IEXG
72,735.41,741.89,731.36,732.93,735.72,205291.0,2021-09-01T20:30:00+0000,TSLA,IEXG
73,736.74,736.79,736.43,,,,2021-09-01T20:00:00+0000,TSLA,IEXG
74,735.41,741.89,731.36,734.4,735.72,172312.0,2021-09-01T19:30:00+0000,TSLA,IEXG
75,735.41,741.89,731.36,733.56,735.72,159415.0,2021-09-01T19:00:00+0000,TSLA,IEXG
76,735.41,741.89,731.79,734.62,735.72,146035.0,2021-09-01T18:30:00+0000,TSLA,IEXG
77,735.41,741.89,731.79,737.04,735.72,134682.0,2021-09-01T18:00:00+0000,TSLA,IEXG
78,735.41,741.89,731.79,735.94,735.72,128143.0,2021-09-01T17:30:00+0000,TSLA,IEXG
79,735.41,741.89,731.79,735.6,735.72,119715.0,2021-09-01T17:00:00+0000,TSLA,IEXG
80,735.41,741.89,731.79,736.71,735.72,103078.0,2021-09-01T16:00:00+0000,TSLA,IEXG
81,735.41,741.89,731.79,738.6,735.72,97225.0,2021-09-01T15:30:00+0000,TSLA,IEXG
82,735.41,740.97,731.79,739.24,735.72,38175.0,2021-09-01T14:00:00+0000,TSLA,IEXG
83,735.41,735.6,732.07,734.365,735.72,1506.0,2021-09-01T13:30:00+0000,TSLA,IEXG
84,735.71,735.71,735.71,,,,2021-09-01T00:00:00+0000,TSLA,IEXG
85,730.91,731.36,729.605,,,,2021-08-31T23:30:00+0000,TSLA,IEXG
86,737.38,737.62,736.595,,,,2021-08-31T23:00:00+0000,TSLA,IEXG
87,736.68,737.72,736.68,,,,2021-08-31T22:30:00+0000,TSLA,IEXG
88,737.2,737.59,737.17,,,,2021-08-31T22:00:00+0000,TSLA,IEXG
89,736.67,736.67,735.82,,,,2021-08-31T21:30:00+0000,TSLA,IEXG
90,738.245,738.6,738.24,,,,2021-08-31T21:00:00+0000,TSLA,IEXG
91,736.935,737.075,736.895,,,,2021-08-31T20:30:00+0000,TSLA,IEXG
92,737.7,737.82,737.625,,,,2021-08-31T20:00:00+0000,TSLA,IEXG
